image_id,tumor,benign,malignant,stratum,split,is_labeled
IMG001050.jpeg,1,1,0,ben_lower,train,True
IMG000364.jpeg,1,1,0,ben_lower,train,True
IMG001084.jpeg,1,1,0,ben_lower,train,True
IMG001428.jpeg,1,1,0,ben_lower,train,True
IMG001095.jpeg,1,1,0,ben_lower,train,True
IMG000390.jpeg,1,1,0,ben_lower,train,True
IMG001328.jpeg,1,1,0,ben_lower,train,True
IMG001611.jpeg,1,1,0,ben_lower,train,True
IMG000996.jpeg,1,1,0,ben_lower,train,True
IMG001108.jpeg,1,1,0,ben_lower,train,True
IMG001562.jpeg,1,1,0,ben_lower,train,True
IMG000493.jpeg,1,1,0,ben_lower,train,True
IMG001468.jpeg,1,1,0,ben_lower,train,True
IMG000375.jpeg,1,1,0,ben_lower,train,True
IMG001098.jpeg,1,1,0,ben_lower,train,True
IMG001632.jpeg,1,1,0,ben_lower,train,True
IMG001152.jpeg,1,1,0,ben_lower,train,True
IMG000956.jpeg,1,1,0,ben_lower,train,True
IMG000306.jpeg,1,1,0,ben_lower,train,True
IMG000904.jpeg,1,1,0,ben_lower,train,True
IMG000613.jpeg,1,1,0,ben_lower,train,True
IMG001724.jpeg,1,1,0,ben_lower,train,True
IMG000949.jpeg,1,1,0,ben_lower,train,True
IMG001450.jpeg,1,1,0,ben_lower,train,True
IMG000440.jpeg,1,1,0,ben_lower,train,True
IMG000352.jpeg,1,1,0,ben_lower,train,True
IMG000670.jpeg,1,1,0,ben_lower,train,True
IMG001159.jpeg,1,1,0,ben_lower,train,True
IMG001520.jpeg,1,1,0,ben_lower,train,True
IMG001085.jpeg,1,1,0,ben_lower,train,True
IMG001234.jpeg,1,1,0,ben_lower,train,True
IMG000891.jpeg,1,1,0,ben_lower,train,True
IMG001230.jpeg,1,1,0,ben_lower,train,True
IMG001495.jpeg,1,1,0,ben_lower,train,True
IMG001118.jpeg,1,1,0,ben_lower,train,True
IMG000919.jpeg,1,1,0,ben_lower,train,True
IMG000302.jpeg,1,1,0,ben_lower,train,True
IMG001763.jpeg,1,1,0,ben_lower,train,True
IMG000810.jpeg,1,1,0,ben_lower,train,True
IMG000277.jpeg,1,1,0,ben_lower,train,True
IMG000811.jpeg,1,1,0,ben_lower,train,True
IMG000447.jpeg,1,1,0,ben_lower,train,True
IMG000449.jpeg,1,1,0,ben_lower,train,True
IMG000547.jpeg,1,1,0,ben_lower,train,True
IMG001710.jpeg,1,1,0,ben_lower,train,True
IMG001293.jpeg,1,1,0,ben_lower,train,True
IMG001386.jpeg,1,1,0,ben_lower,train,True
IMG000733.jpeg,1,1,0,ben_lower,train,True
IMG001588.jpeg,1,1,0,ben_lower,train,True
IMG001237.jpeg,1,1,0,ben_lower,train,True
IMG000943.jpeg,1,1,0,ben_lower,train,True
IMG000632.jpeg,1,1,0,ben_lower,train,True
IMG000265.jpeg,1,1,0,ben_lower,train,True
IMG001067.jpeg,1,1,0,ben_lower,train,True
IMG001212.jpeg,1,1,0,ben_lower,train,True
IMG000591.jpeg,1,1,0,ben_lower,train,True
IMG001536.jpeg,1,1,0,ben_lower,train,True
IMG000709.jpeg,1,1,0,ben_lower,train,True
IMG001157.jpeg,1,1,0,ben_lower,train,True
IMG001266.jpeg,1,1,0,ben_lower,train,True
IMG001821.jpeg,1,1,0,ben_lower,train,True
IMG000299.jpeg,1,1,0,ben_lower,train,True
IMG001831.jpeg,1,1,0,ben_lower,train,True
IMG000681.jpeg,1,1,0,ben_lower,train,True
IMG001662.jpeg,1,1,0,ben_lower,train,True
IMG000889.jpeg,1,1,0,ben_lower,train,True
IMG001424.jpeg,1,1,0,ben_lower,train,True
IMG001206.jpeg,1,1,0,ben_lower,train,True
IMG001167.jpeg,1,1,0,ben_lower,train,True
IMG000242.jpeg,1,1,0,ben_lower,train,True
IMG001298.jpeg,1,1,0,ben_lower,train,True
IMG000931.jpeg,1,1,0,ben_lower,train,True
IMG001274.jpeg,1,1,0,ben_lower,train,True
IMG001826.jpeg,1,1,0,ben_lower,train,True
IMG000444.jpeg,1,1,0,ben_lower,train,True
IMG000809.jpeg,1,1,0,ben_lower,train,True
IMG001241.jpeg,1,1,0,ben_lower,train,True
IMG000433.jpeg,1,1,0,ben_lower,train,True
IMG000515.jpeg,1,1,0,ben_lower,train,True
IMG000990.jpeg,1,1,0,ben_lower,train,True
